col,col,col,código_material,preço_real,descrição,qtde_min,bateria_recomendada,kit,tensão_carregador,tensão_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,col,col,col,col
,,,4521-011-3563,1339,"HSA 50.1 Podador a bateria, 500mm/20""",1,,Não acompanha bateria ou carregador,-,,,,,,,,,,
HSA 100,,,,,,,,,,,,,,,,,,,
,,,"Código
Material","Preço
Real",Descrição,"Qtde.
Min.",Bateria recomendada,Kit,Tensão carregador,Tensão Nominal Bateria (V),Comprimento da lâmina (mm),Espaço entre dentes (mm),,"Peso 
[kg]",,,,,
,,,HA07-011-3530,1899,"HSA 100.1 Podador a bateria, 600mm/24""",1,AP200,Não acompanha bateria ou carregador,-,36,600,34,,3.6,,,,,
HLA 56,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão Nominal [V],Ângulo de ajuste da lâmina,Alcance da poda (m),Comprimento de corte (mm),"Peso 
[kg]",,,,,
,,,HA01-011-2913,1568.99,HLA 56 Podador de altura a bateria,1,AK 10,Não acompanha bateria ou carregador,-,36,"135º
 (-45º até +90º)",2.1,450,3.8,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Comentário,,,,,,,"Peso 
[kg]",,,,,
,,,HA01-820-5000,273.96,"Extensão 0,5 m",1,"A extensão amplia o raio de alcance do usuário, permitindo atingir alturas maiores. ",,,,,,,0.474,,,,,
HLA 66,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão Nominal [V],Ângulo de ajuste da lâmina,Alcance da poda (mm),Comprimento de corte (mm),"Peso 
[kg]",,,,,
,,,4859-011-2914,2599,HLA 66 Podador de altura a bateria,1,AP 200 S,Não acompanha bateria ou carregador,-,36,"115º
(-45º até +70º)",2.05,500,3.8,,,,,
SEA 20.0,,,,,,,,,,,,,,,,,,,
,,,"Código
Material","Preço
Real",Descrição,"Qtde.
Min.",Bateria recomendada,Kit,Tensão carregador,Tensão Nominal (V),Volume do reservatório [L],Máximo vácuo [mbar / kPa],Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,SA03-011-7304,829,SEA 20.0 Aspirador portátil a bateria,1,AS 2,Não acompanha bateria ou carregador,-,10.8,0.75,80 / 8,14,1.1,,,,,
