col,col,código_material,preço_real,qtde_min,descrição,cilindrada_cm³,pot,col,peso,conjunto_de_corte
,3,4243-740-5003,1729,1,HL-KM 145° Podador especial,,,,2.742,KM55/85 / KMA135R
,4,4606-740-5000,739,1,BG-KM Soprador axial,,,,1.736,KM55/85 / KMA135R
,5,4182-200-0212,1269,1,"Implem. KM - HT Motopoda,30cm/12"",71PM3",,,,2.384,HT-KM55/85R / KMA135R
,6,4182-200-0208,1249,1,"Implem. KM - HT Motopoda,30cm/12"",61PMM3",,,,2.384,HT-KM55/85R /  KMA135R
,7,4180-740-5002,759,1,FCB-KM Aparador de cantos,,,,2.86,FCB-KM55/85 / KMA135R
,,4180-710-7141,489,1,FS-KM Roçadeira,"Não acompanha Jogo de proteção, Kit de peças para fixação da lâmina e arruela 4137-710-3800",,,1.045,FS-KM55/85 / KMA135R
,,4140-710-7131,434.04,1,Tubo do eixo 1 m,Prolongador da haste,,,,HT-KM85R / KMA135R
Garras SP 20,,,,,,,,,,
,,Garra WR 6,,,,,,,,
,,Código Material,Preço Real,"Qtde. 
Min.",Comentários,,,,Peso,
,,4260-740-7200,131.18,1," - Garra com seis dedos alinhados
 - É o modelo universal. Indicada para plantas com ramos de tamanho e espaçamento normais.",,,,0.145,
,,,879,2,,,,,,
,,Garra WR 6-2,,,,,,,,
,,Código Material,Preço Real,Qtde. Min.,Comentários,,,,Peso,
,,4260-740-7201,130.17,1," - Garra com seis dedos desalinhados
 - Ideal para as situações onde as plantas são  densas,  próximas e  com galhos entrelaçados que dificultam o acesso aos frutos.",,,,0.13,
,,,879,2,,,,,,
,,Garra WR 9,,,,,,,,
,,Código Material,Preço Real,Qtde. Min.,Comentários,,,,Peso,
,,4260-740-7202,162.71,1," - Garra com nove dedos 
 - Altíssima produtividade para ramos longos, adensados e com muitos frutos por planta.",,,,0.19,
,,,899,2,,,,,,
"CONDIÇÕES DE VENDA :  PREÇO POSTO EM SÃO LEOPOLDO-RS, COM IPI INCLUSO",,,,,,,,,,
A INFORMAÇÃO DA COLUNA “T” REFERE-SE A SITUAÇÃO TRIBUTÁRIA VÁLIDA SOMENTE PARA O ESTADO DO RIO GRANDE DO SUL,,,,,,,,,,
OBSERVAÇÕES,,,,,,,,,,
1. NOS PESOS DAS ROÇADEIRAS E DO SISTEMA MOTORIZADO MULTIFUNCIONAL NÃO ESTÃO INCLUSOS OS PESOS DAS FERRAMENTAS DE CORTE E/OU FERRAMENTAS DE ANEXO.,,,,,,,,,,
