código_material,preço_real,descrição,modelos_compativeis
0000-930-2251,173.15,Cabo de ignição 10 m,MS08/025/034/036/310/360/038/039/390/046
0000-930-2267,305.09,"Cordão de arranque Ø 3,5 mm / 28 peças",MS036/360/310/390/460/462
0000-930-2268,401.4,"Cordão de arranque Ø 4,5 mm / 28 peças",MS066/660/650/651/661
0000-930-2281,109.24,"Cordão de arranque Ø 2,7 mm x 30,8 m",FS75/85/85R/SP80/80K/81/HS80/HT75/KA85RMS210/HS81R
0000-930-2295,221.48,"Cordão de arranque Ø 4,5 mm / 28 peças",TS800
0000-930-2297,444.42,Cordão de arranque  Ø 4 mm x 30 m,TS420
0000-930-2298,117.63,"Cordão de arranque  Ø 3 mm x 30,5 m",FS351/FS460/FR410
0000-930-2802,13.25,"Mangueira 2,2x5,4 mm x 1 m R1",BT120/BT121/MS210/HS81R/FS120/250/300/350/FR350/BR600/KA120
0000-930-2803,13.25,"Mangueira 3,1x5,7 mm x 1 m, R3",MS660/066/650/210/230/250/651/661/KA85R/BR430/TS800/MSA120/160T/HTA85/KA120/BG50/HT133/MSA140/HTA86
0000-930-2804,15.87,Mangueira 1000 mm,MS08/210/250/034/038/051/066/660/076/P835/840/FS160/220/280/SP81
0000-937-4006,7.28,Mangueira 73 mm,TS800
0000-937-4054,31.46,Mangueira 1070 mm,SR430/450
0000-937-4111,7.06,Mangueira,FS120/300/350/380/KA120
0000-937-4142,15.87,Mangueira 1.000 mm,TS420/TS800/TSA230
0000-937-5004,105.48,"Mangueira 3,1x5,7 mm x 1 m, R5",HS81R/BR430/BG50/HT133
0000-937-5006,82.06,"Mangueira 2,2x5,4 mm x 1 m, R5",MS162/172/172C/182/212/FS120/KA120
0000-937-5034,45.21,Mangueira,FS85/86/106/108/120/160/250/KA85R/KM55
0000-937-5037,79.44,"Mangueira 2,2x5,4 mm x 1m, R6 -FPM/ECO",FS120/300/350/380/KA120
0000-950-9421,60.46,Parafuso de regulagem,USG CJ.AFIADOR
0000-951-0503,5.76,Parafuso sextavado M5x55,MS162/172/172C/182/212
0000-951-0600,5.05,Parafuso sextavado M6,FS460/HT133
0000-951-0606,5.07,Parafuso sextavado,BT120/BT121/HS81R/FR350/FS120/250/300/350/KA120
0000-951-0900,66.21,Parafuso sextavado,MS462
0000-951-0901,18,Parafuso sextavado M8LHx20,Implemento FCS
0000-951-0920,78.45,Parafuso sextavado M10x55,MS651/661
0000-951-1100,5.05,Parafuso de plastoforma IS-D5x20,MSA160/200/RMA370/MS192T/194T/BT121/HTImpl/HT131/75/KA120/HS45/81/82R/KM55/FS120/250/300/350/FR350/HT70K//BG50/56/SH56/MSA140
0000-951-1102,5.77,Parafuso de plastoforma IS-D5x26,BT120/121/FS120/250/300/350/KM55/FR350/TS420/800-FW20/KA120
0000-951-1104,6.49,Parafuso,KM85R/HLA65
